[INFO] [1680617107.131357083] [ClosedLoopController]: COG position: (46.000000, 8.000000) pixels = (-0.170000, 0.260000) rad
[INFO] [1680617107.859008831] [ClosedLoopController]: COG position: (37.000000, 8.000000) pixels = (-0.215000, 0.260000) rad
[INFO] [1680617108.572810590] [ClosedLoopController]: COG position: (69.000000, 9.000000) pixels = (-0.055000, 0.255000) rad
[INFO] [1680617109.285013375] [ClosedLoopController]: COG position: (64.000000, 8.000000) pixels = (-0.080000, 0.260000) rad
[INFO] [1680617110.011383648] [ClosedLoopController]: COG position: (49.000000, 9.000000) pixels = (-0.155000, 0.255000) rad
[INFO] [1680617110.701596688] [ClosedLoopController]: COG position: (28.000000, 8.000000) pixels = (-0.260000, 0.260000) rad
[INFO] [1680617111.392327282] [ClosedLoopController]: COG position: (44.000000, 18.000000) pixels = (-0.180000, 0.210000) rad
[INFO] [1680617112.282233502] [ClosedLoopController]: COG position: (22.000000, 8.000000) pixels = (-0.290000, 0.260000) rad
[INFO] [1680617113.323111731] [ClosedLoopController]: COG position: (36.000000, 19.000000) pixels = (-0.220000, 0.205000) rad
[INFO] [1680617114.126467020] [ClosedLoopController]: COG position: (34.000000, 17.000000) pixels = (-0.230000, 0.215000) rad
[INFO] [1680617114.956302439] [ClosedLoopController]: COG position: (32.000000, 16.000000) pixels = (-0.240000, 0.220000) rad
[INFO] [1680617115.693734344] [ClosedLoopController]: COG position: (37.000000, 21.000000) pixels = (-0.215000, 0.195000) rad
[INFO] [1680617116.437235387] [ClosedLoopController]: COG position: (32.000000, 20.000000) pixels = (-0.240000, 0.200000) rad
[INFO] [1680617117.152357585] [ClosedLoopController]: COG position: (39.000000, 18.000000) pixels = (-0.205000, 0.210000) rad
[INFO] [1680617117.928929115] [ClosedLoopController]: COG position: (34.000000, 18.000000) pixels = (-0.230000, 0.210000) rad
[INFO] [1680617118.674103520] [ClosedLoopController]: COG position: (35.000000, 20.000000) pixels = (-0.225000, 0.200000) rad
[INFO] [1680617119.412267163] [ClosedLoopController]: COG position: (33.000000, 18.000000) pixels = (-0.235000, 0.210000) rad
[INFO] [1680617120.192709027] [ClosedLoopController]: COG position: (32.000000, 18.000000) pixels = (-0.240000, 0.210000) rad
[INFO] [1680617120.895318083] [ClosedLoopController]: COG position: (34.000000, 17.000000) pixels = (-0.230000, 0.215000) rad
[INFO] [1680617121.670110530] [ClosedLoopController]: COG position: (42.000000, 16.000000) pixels = (-0.190000, 0.220000) rad
[INFO] [1680617122.373103122] [ClosedLoopController]: COG position: (33.000000, 17.000000) pixels = (-0.235000, 0.215000) rad
[INFO] [1680617123.106537992] [ClosedLoopController]: COG position: (41.000000, 19.000000) pixels = (-0.195000, 0.205000) rad
[INFO] [1680617123.815911757] [ClosedLoopController]: COG position: (39.000000, 18.000000) pixels = (-0.205000, 0.210000) rad
[INFO] [1680617124.517520522] [ClosedLoopController]: COG position: (30.000000, 15.000000) pixels = (-0.250000, 0.225000) rad
[INFO] [1680617125.316673481] [ClosedLoopController]: COG position: (38.000000, 18.000000) pixels = (-0.210000, 0.210000) rad
