Script started on 2023-03-21 16:32:56+01:00 [TERM="xterm-256color" TTY="/dev/pts/10" COLUMNS="109" LINES="26"]
not found: "/home/pi/ros2_galactic/install/qt_gui_cpp/share/qt_gui_cpp/local_setup.sh"
]0;asdfr_04@asdfr-rpi-4: ~/ASDfR/ros2_ws/src/timing/launch[01;32masdfr_04@asdfr-rpi-4[00m:[01;34m~/ASDfR/ros2_ws/src/timing/launch $[00m ros2 launch assignment23.py
[INFO] [launch]: All log files can be found below /home/asdfr_04/.ros/log/2023-03-21-16-33-15-833145-asdfr-rpi-4-6539
[INFO] [launch]: Default logging verbosity is set to INFO
Task exception was never retrieved


[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [Seq04-1]: process started with pid [6552]
[INFO] [Loop04-2]: process started with pid [6553]
[Seq04-1] [INFO] [1679412844.784923560] [seq04]: Publishing FROM SEQ04: '0
[Seq04-1] [INFO] [1679412844.786442844] [seq04]: Publishing FROM SEQ04: '1
[Seq04-1] [INFO] [1679412844.786957359] [seq04]: Publishing FROM SEQ04: '2
[Seq04-1] [INFO] [1679412844.787951018] [seq04]: Publishing FROM SEQ04: '3
[Seq04-1] [INFO] [1679412844.789017362] [seq04]: Publishing FROM SEQ04: '4
[Seq04-1] [INFO] [1679412844.790875774] [seq04]: Publishing FROM SEQ04: '5
[Seq04-1] [INFO] [1679412844.791953266] [seq04]: Publishing FROM SEQ04: '6
[Seq04-1] [INFO] [1679412844.792951481] [seq04]: Publishing FROM SEQ04: '7
[Seq04-1] [INFO] [1679412844.793957066] [seq04]: Publishing FROM SEQ04: '8
[Seq04-1] [INFO] [1679412844.794940373] [seq04]: Publishing FROM SEQ04: '9
[Seq04-1] [INFO] [1679412844.795943458] [seq04]: Publishing FROM SEQ04: '10
[Seq04-1] [INFO] [1679412844.796957654] [seq04]: Publishing FROM SEQ04: '11
[Seq04-1] [INFO] [1679412844.797949091] [seq04]: Publishing FROM SEQ04: '12
[Seq04-1] [INFO] [1679412844.799943873] [seq04]: Publishing FROM SEQ04: '13
[Seq04-1] [INFO] [1679412844.800937143] [seq04]: Publishing FROM SEQ04: '14
[Seq04-1] [INFO] [1679412844.801938321] [seq04]: Publishing FROM SEQ04: '15
[Seq04-1] [INFO] [1679412844.802936906] [seq04]: Publishing FROM SEQ04: '16
[Seq04-1] [INFO] [1679412844.803931917] [seq04]: Publishing FROM SEQ04: '17
[Seq04-1] [INFO] [1679412844.804933668] [seq04]: Publishing FROM SEQ04: '18
[Seq04-1] [INFO] [1679412844.805939309] [seq04]: Publishing FROM SEQ04: '19
[Seq04-1] [INFO] [1679412844.806935968] [seq04]: Publishing FROM SEQ04: '20
[Seq04-1] [INFO] [1679412844.807938424] [seq04]: Publishing FROM SEQ04: '21
[Seq04-1] [INFO] [1679412844.808934083] [seq04]: Publishing FROM SEQ04: '22
[Seq04-1] [INFO] [1679412844.809933316] [seq04]: Publishing FROM SEQ04: '23
[Seq04-1] [INFO] [1679412844.810928475] [seq04]: Publishing FROM SEQ04: '24
[Seq04-1] [INFO] [1679412844.811934727] [seq04]: Publishing FROM SEQ04: '25
[Seq04-1] [INFO] [1679412844.812949923] [seq04]: Publishing FROM SEQ04: '26
[Seq04-1] [INFO] [1679412844.813941471] [seq04]: Publishing FROM SEQ04: '27
[Seq04-1] [INFO] [1679412844.814930593] [seq04]: Publishing FROM SEQ04: '28
[Seq04-1] [INFO] [1679412844.816035511] [seq04]: Publishing FROM SEQ04: '29
[Seq04-1] [INFO] [1679412844.818904230] [seq04]: Publishing FROM SEQ04: '30
[Seq04-1] [INFO] [1679412844.819962463] [seq04]: Publishing FROM SEQ04: '31
[Seq04-1] [INFO] [1679412844.820949715] [seq04]: Publishing FROM SEQ04: '32
[Seq04-1] [INFO] [1679412844.821950115] [seq04]: Publishing FROM SEQ04: '33
[Seq04-1] [INFO] [1679412844.822932181] [seq04]: Publishing FROM SEQ04: '34
[Seq04-1] [INFO] [1679412844.823953785] [seq04]: Publishing FROM SEQ04: '35
[Seq04-1] [INFO] [1679412844.824949647] [seq04]: Publishing FROM SEQ04: '36
[Seq04-1] [INFO] [1679412844.825935399] [seq04]: Publishing FROM SEQ04: '37
[Seq04-1] [INFO] [1679412844.826988577] [seq04]: Publishing FROM SEQ04: '38
[Seq04-1] [INFO] [1679412844.829260504] [seq04]: Publishing FROM SEQ04: '39
[Seq04-1] [INFO] [1679412844.830000035] [seq04]: Publishing FROM SEQ04: '40
[Seq04-1] [INFO] [1679412844.833975302] [seq04]: Publishing FROM SEQ04: '41
[Seq04-1] [INFO] [1679412844.834943183] [seq04]: Publishing FROM SEQ04: '42
[Seq04-1] [INFO] [1679412844.835983009] [seq04]: Publishing FROM SEQ04: '43
[Seq04-1] [INFO] [1679412844.836943391] [seq04]: Publishing FROM SEQ04: '44
[Seq04-1] [INFO] [1679412844.838156733] [seq04]: Publishing FROM SEQ04: '45
[Seq04-1] [INFO] [1679412844.838959450] [seq04]: Publishing FROM SEQ04: '46
[Seq04-1] [INFO] [1679412844.839960923] [seq04]: Publishing FROM SEQ04: '47
[Seq04-1] [INFO] [1679412844.840953120] [seq04]: Publishing FROM SEQ04: '48
[Seq04-1] [INFO] [1679412844.841948760] [seq04]: Publishing FROM SEQ04: '49
[Seq04-1] [INFO] [1679412844.842965049] [seq04]: Publishing FROM SEQ04: '50
[Seq04-1] [INFO] [1679412844.843947319] [seq04]: Publishing FROM SEQ04: '51
[Seq04-1] [INFO] [1679412844.844994293] [seq04]: Publishing FROM SEQ04: '52
[Seq04-1] [INFO] [1679412844.846798539] [seq04]: Publishing FROM SEQ04: '53
[Seq04-1] [INFO] [1679412844.852466033] [seq04]: Publishing FROM SEQ04: '54
[Seq04-1] [INFO] [1679412844.852916659] [seq04]: Publishing FROM SEQ04: '55
[Seq04-1] [INFO] [1679412844.854176261] [seq04]: Publishing FROM SEQ04: '56
[Seq04-1] [INFO] [1679412844.854829441] [seq04]: Publishing FROM SEQ04: '57
[Seq04-1] [INFO] [1679412844.856256986] [seq04]: Publishing FROM SEQ04: '58
[Seq04-1] [INFO] [1679412844.859330796] [seq04]: Publishing FROM SEQ04: '59
[Seq04-1] [INFO] [1679412844.860630768] [seq04]: Publishing FROM SEQ04: '60
[Seq04-1] [INFO] [1679412844.861052617] [seq04]: Publishing FROM SEQ04: '61
[Seq04-1] [INFO] [1679412844.863370451] [seq04]: Publishing FROM SEQ04: '62
[Seq04-1] [INFO] [1679412844.864389277] [seq04]: Publishing FROM SEQ04: '63
[Seq04-1] [INFO] [1679412844.865354973] [seq04]: Publishing FROM SEQ04: '64
[Seq04-1] [INFO] [1679412844.867332921] [seq04]: Publishing FROM SEQ04: '65
[Seq04-1] [INFO] [1679412844.869815569] [seq04]: Publishing FROM SEQ04: '66
[Seq04-1] [INFO] [1679412844.873115322] [seq04]: Publishing FROM SEQ04: '67
[Seq04-1] [INFO] [1679412844.876140633] [seq04]: Publishing FROM SEQ04: '68
[Seq04-1] [INFO] [1679412844.877996008] [seq04]: Publishing FROM SEQ04: '69
[Seq04-1] [INFO] [1679412844.881108373] [seq04]: Publishing FROM SEQ04: '70
[Seq04-1] [INFO] [1679412844.882962619] [seq04]: Publishing FROM SEQ04: '71
[Seq04-1] [INFO] [1679412844.884801216] [seq04]: Publishing FROM SEQ04: '72
[Seq04-1] [INFO] [1679412844.885966781] [seq04]: Publishing FROM SEQ04: '73
[Seq04-1] [INFO] [1679412844.886943755] [seq04]: Publishing FROM SEQ04: '74
[Seq04-1] [INFO] [1679412844.887953044] [seq04]: Publishing FROM SEQ04: '75
[Seq04-1] [INFO] [1679412844.888951296] [seq04]: Publishing FROM SEQ04: '76
[Seq04-1] [INFO] [1679412844.890371341] [seq04]: Publishing FROM SEQ04: '77
[Seq04-1] [INFO] [1679412844.891040484] [seq04]: Publishing FROM SEQ04: '78
[Seq04-1] [INFO] [1679412844.892151827] [seq04]: Publishing FROM SEQ04: '79
[Seq04-1] [INFO] [1679412844.894459328] [seq04]: Publishing FROM SEQ04: '80
[Seq04-1] [INFO] [1679412844.895234693] [seq04]: Publishing FROM SEQ04: '81
[Seq04-1] [INFO] [1679412844.896829385] [seq04]: Publishing FROM SEQ04: '82
[Seq04-1] [INFO] [1679412844.897942099] [seq04]: Publishing FROM SEQ04: '83
[Seq04-1] [INFO] [1679412844.898932739] [seq04]: Publishing FROM SEQ04: '84
[Seq04-1] [INFO] [1679412844.899957898] [seq04]: Publishing FROM SEQ04: '85
[Seq04-1] [INFO] [1679412844.903298614] [seq04]: Publishing FROM SEQ04: '86
[Seq04-1] [INFO] [1679412844.903927424] [seq04]: Publishing FROM SEQ04: '87
[Seq04-1] [INFO] [1679412844.904954879] [seq04]: Publishing FROM SEQ04: '88
[Seq04-1] [INFO] [1679412844.906113333] [seq04]: Publishing FROM SEQ04: '89
[Seq04-1] [INFO] [1679412844.906959753] [seq04]: Publishing FROM SEQ04: '90
[Seq04-1] [INFO] [1679412844.908905109] [seq04]: Publishing FROM SEQ04: '91
[Seq04-1] [INFO] [1679412844.909949471] [seq04]: Publishing FROM SEQ04: '92
[Seq04-1] [INFO] [1679412844.912114696] [seq04]: Publishing FROM SEQ04: '93
[Seq04-1] [INFO] [1679412844.912946004] [seq04]: Publishing FROM SEQ04: '94
[Seq04-1] [INFO] [1679412844.914162347] [seq04]: Publishing FROM SEQ04: '95
[Seq04-1] [INFO] [1679412844.915258542] [seq04]: Publishing FROM SEQ04: '96
[Seq04-1] [INFO] [1679412844.915792724] [seq04]: Publishing FROM SEQ04: '97
[Seq04-1] [INFO] [1679412844.918148650] [seq04]: Publishing FROM SEQ04: '98
[Seq04-1] [INFO] [1679412844.920244949] [seq04]: Publishing FROM SEQ04: '99
[Seq04-1] [INFO] [1679412844.921041203] [seq04]: Publishing FROM SEQ04: '100
[Seq04-1] [INFO] [1679412844.922232583] [seq04]: Publishing FROM SEQ04: '101
[Seq04-1] [INFO] [1679412844.923003855] [seq04]: Publishing FROM SEQ04: '102
[Seq04-1] [INFO] [1679412844.925088043] [seq04]: Publishing FROM SEQ04: '103
[Seq04-1] [INFO] [1679412844.927299785] [seq04]: Publishing FROM SEQ04: '104
[Seq04-1] [INFO] [1679412844.927964354] [seq04]: Publishing FROM SEQ04: '105
[Seq04-1] [INFO] [1679412844.929278252] [seq04]: Publishing FROM SEQ04: '106
[Seq04-1] [INFO] [1679412844.932491117] [seq04]: Publishing FROM SEQ04: '107
[Seq04-1] [INFO] [1679412844.933051075] [seq04]: Publishing FROM SEQ04: '108
[Seq04-1] [INFO] [1679412844.935010338] [seq04]: Publishing FROM SEQ04: '109
[Seq04-1] [INFO] [1679412844.936821677] [seq04]: Publishing FROM SEQ04: '110
[Seq04-1] [INFO] [1679412844.943380109] [seq04]: Publishing FROM SEQ04: '111
[Seq04-1] [INFO] [1679412844.944477878] [seq04]: Publishing FROM SEQ04: '112
[Seq04-1] [INFO] [1679412844.945107781] [seq04]: Publishing FROM SEQ04: '113
[Seq04-1] [INFO] [1679412844.947221043] [seq04]: Publishing FROM SEQ04: '114
[Seq04-1] [INFO] [1679412844.948203461] [seq04]: Publishing FROM SEQ04: '115
[Seq04-1] [INFO] [1679412844.950542962] [seq04]: Publishing FROM SEQ04: '116
[Seq04-1] [INFO] [1679412844.951358864] [seq04]: Publishing FROM SEQ04: '117
[Seq04-1] [INFO] [1679412844.952660002] [seq04]: Publishing FROM SEQ04: '118
[Seq04-1] [INFO] [1679412844.952998259] [seq04]: Publishing FROM SEQ04: '119
[Seq04-1] [INFO] [1679412844.954824893] [seq04]: Publishing FROM SEQ04: '120
[Seq04-1] [INFO] [1679412844.957334726] [seq04]: Publishing FROM SEQ04: '121
[Seq04-1] [INFO] [1679412844.958824641] [seq04]: Publishing FROM SEQ04: '122
[Seq04-1] [INFO] [1679412844.960739645] [seq04]: Publishing FROM SEQ04: '123
[Seq04-1] [INFO] [1679412844.961720045] [seq04]: Publishing FROM SEQ04: '124
[Seq04-1] [INFO] [1679412844.962207745] [seq04]: Publishing FROM SEQ04: '125
[Seq04-1] [INFO] [1679412844.963772529] [seq04]: Publishing FROM SEQ04: '126
[Seq04-1] [INFO] [1679412844.964158378] [seq04]: Publishing FROM SEQ04: '127
[Seq04-1] [INFO] [1679412844.965499961] [seq04]: Publishing FROM SEQ04: '128
[Seq04-1] [INFO] [1679412844.965971013] [seq04]: Publishing FROM SEQ04: '129
[Seq04-1] [INFO] [1679412844.968180774] [seq04]: Publishing FROM SEQ04: '130
[Seq04-1] [INFO] [1679412844.968970805] [seq04]: Publishing FROM SEQ04: '131
[Seq04-1] [INFO] [1679412844.970799365] [seq04]: Publishing FROM SEQ04: '132
[Seq04-1] [INFO] [1679412844.972973219] [seq04]: Publishing FROM SEQ04: '133
[Seq04-1] [INFO] [1679412844.974650892] [seq04]: Publishing FROM SEQ04: '134
[Seq04-1] [INFO] [1679412844.976088437] [seq04]: Publishing FROM SEQ04: '135
[Seq04-1] [INFO] [1679412844.977091448] [seq04]: Publishing FROM SEQ04: '136
[Seq04-1] [INFO] [1679412844.977851294] [seq04]: Publishing FROM SEQ04: '137
[Seq04-1] [INFO] [1679412844.978969730] [seq04]: Publishing FROM SEQ04: '138
[Seq04-1] [INFO] [1679412844.981372767] [seq04]: Publishing FROM SEQ04: '139
[Seq04-1] [INFO] [1679412844.982348223] [seq04]: Publishing FROM SEQ04: '140
[Seq04-1] [INFO] [1679412844.984069025] [seq04]: Publishing FROM SEQ04: '141
[Seq04-1] [INFO] [1679412844.985651143] [seq04]: Publishing FROM SEQ04: '142
[Seq04-1] [INFO] [1679412844.986536729] [seq04]: Publishing FROM SEQ04: '143
[Seq04-1] [INFO] [1679412844.986914744] [seq04]: Publishing FROM SEQ04: '144
[Seq04-1] [INFO] [1679412844.988454473] [seq04]: Publishing FROM SEQ04: '145
