Script started on 2023-03-21 16:48:22+01:00 [TERM="xterm-256color" TTY="/dev/pts/12" COLUMNS="109" LINES="28"]
not found: "/home/pi/ros2_galactic/install/qt_gui_cpp/share/qt_gui_cpp/local_setup.sh"
]0;asdfr_04@asdfr-rpi-4: ~/ASDfR/ros2_ws/src/timing/launch[01;32masdfr_04@asdfr-rpi-4[00m:[01;34m~/ASDfR/ros2_ws/src/timing/launch $[00m ros2 launch assignment23.py[7Pcd src/timing/launchros2 launch assignment23.py
[INFO] [launch]: All log files can be found below /home/asdfr_04/.ros/log/2023-03-21-16-48-37-899875-asdfr-rpi-4-7321
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [Seq04-1]: process started with pid [7324]
[INFO] [Loop04-2]: process started with pid [7325]
[Seq04-1] [INFO] [1679413721.014448407] [seq04]: Publishing FROM SEQ04: '0
[Seq04-1] [INFO] [1679413721.031801827] [seq04]: Publishing FROM SEQ04: '1
[Seq04-1] [INFO] [1679413721.044227632] [seq04]: Publishing FROM SEQ04: '2
[Seq04-1] [INFO] [1679413721.056127811] [seq04]: Publishing FROM SEQ04: '3
[Seq04-1] [INFO] [1679413721.056418532] [seq04]: Publishing FROM SEQ04: '4
[Seq04-1] [INFO] [1679413721.063903814] [seq04]: Publishing FROM SEQ04: '5
[Seq04-1] [INFO] [1679413721.064309034] [seq04]: Publishing FROM SEQ04: '6
[Seq04-1] [INFO] [1679413721.069413703] [seq04]: Publishing FROM SEQ04: '7
[Seq04-1] [INFO] [1679413721.080507536] [seq04]: Publishing FROM SEQ04: '8
[Seq04-1] [INFO] [1679413721.081866952] [seq04]: Publishing FROM SEQ04: '9
[Seq04-1] [INFO] [1679413721.082176802] [seq04]: Publishing FROM SEQ04: '10
[Seq04-1] [INFO] [1679413721.087730783] [seq04]: Publishing FROM SEQ04: '11
[Seq04-1] [INFO] [1679413721.089785584] [seq04]: Publishing FROM SEQ04: '12
[Seq04-1] [INFO] [1679413721.091844274] [seq04]: Publishing FROM SEQ04: '13
[Seq04-1] [INFO] [1679413721.092152142] [seq04]: Publishing FROM SEQ04: '14
[Seq04-1] [INFO] [1679413721.099064725] [seq04]: Publishing FROM SEQ04: '15
[Seq04-1] [INFO] [1679413721.099665147] [seq04]: Publishing FROM SEQ04: '16
[Seq04-1] [INFO] [1679413721.100372161] [seq04]: Publishing FROM SEQ04: '17
[Seq04-1] [INFO] [1679413721.102825015] [seq04]: Publishing FROM SEQ04: '18
[Seq04-1] [INFO] [1679413721.108709957] [seq04]: Publishing FROM SEQ04: '19
[Seq04-1] [INFO] [1679413721.111998527] [seq04]: Publishing FROM SEQ04: '20
[Seq04-1] [INFO] [1679413721.112423006] [seq04]: Publishing FROM SEQ04: '21
[Seq04-1] [INFO] [1679413721.116474904] [seq04]: Publishing FROM SEQ04: '22
[Seq04-1] [INFO] [1679413721.119841955] [seq04]: Publishing FROM SEQ04: '23
[Seq04-1] [INFO] [1679413721.121198372] [seq04]: Publishing FROM SEQ04: '24
[Seq04-1] [INFO] [1679413721.122299994] [seq04]: Publishing FROM SEQ04: '25
[Seq04-1] [INFO] [1679413721.130734382] [seq04]: Publishing FROM SEQ04: '26
[Seq04-1] [INFO] [1679413721.132043429] [seq04]: Publishing FROM SEQ04: '27
[Seq04-1] [INFO] [1679413721.132329797] [seq04]: Publishing FROM SEQ04: '28
[Seq04-1] [INFO] [1679413721.135125278] [seq04]: Publishing FROM SEQ04: '29
[Seq04-1] [INFO] [1679413721.135674478] [seq04]: Publishing FROM SEQ04: '30
[Seq04-1] [INFO] [1679413721.142888930] [seq04]: Publishing FROM SEQ04: '31
[Seq04-1] [INFO] [1679413721.143466518] [seq04]: Publishing FROM SEQ04: '32
[Seq04-1] [INFO] [1679413721.147872470] [seq04]: Publishing FROM SEQ04: '33
[Seq04-1] [INFO] [1679413721.148261708] [seq04]: Publishing FROM SEQ04: '34
[Seq04-1] [INFO] [1679413721.149659051] [seq04]: Publishing FROM SEQ04: '35
[Seq04-1] [INFO] [1679413721.152175756] [seq04]: Publishing FROM SEQ04: '36
[Seq04-1] [INFO] [1679413721.154993607] [seq04]: Publishing FROM SEQ04: '37
[Seq04-1] [INFO] [1679413721.157477220] [seq04]: Publishing FROM SEQ04: '38
[Seq04-1] [INFO] [1679413721.164283693] [seq04]: Publishing FROM SEQ04: '39
[Seq04-1] [INFO] [1679413721.165802034] [seq04]: Publishing FROM SEQ04: '40
[Seq04-1] [INFO] [1679413721.166981804] [seq04]: Publishing FROM SEQ04: '41
[Seq04-1] [INFO] [1679413721.167260395] [seq04]: Publishing FROM SEQ04: '42
[Seq04-1] [INFO] [1679413721.168421479] [seq04]: Publishing FROM SEQ04: '43
[Seq04-1] [INFO] [1679413721.173711555] [seq04]: Publishing FROM SEQ04: '44
[Seq04-1] [INFO] [1679413721.177464104] [seq04]: Publishing FROM SEQ04: '45
[Seq04-1] [INFO] [1679413721.179062556] [seq04]: Publishing FROM SEQ04: '46
[Seq04-1] [INFO] [1679413721.179302313] [seq04]: Publishing FROM SEQ04: '47
[Seq04-1] [INFO] [1679413721.184648333] [seq04]: Publishing FROM SEQ04: '48
[Seq04-1] [INFO] [1679413721.185882306] [seq04]: Publishing FROM SEQ04: '49
[Seq04-1] [INFO] [1679413721.186167600] [seq04]: Publishing FROM SEQ04: '50
[Seq04-1] [INFO] [1679413721.190946346] [seq04]: Publishing FROM SEQ04: '51
[Seq04-1] [INFO] [1679413721.193709846] [seq04]: Publishing FROM SEQ04: '52
[Seq04-1] [INFO] [1679413721.198508091] [seq04]: Publishing FROM SEQ04: '53
[Seq04-1] [INFO] [1679413721.202328658] [seq04]: Publishing FROM SEQ04: '54
[Seq04-1] [INFO] [1679413721.211848760] [seq04]: Publishing FROM SEQ04: '55
[Seq04-1] [INFO] [1679413721.212525478] [seq04]: Loop04 topic received: '54
[Seq04-1] [INFO] [1679413721.212874772] [seq04]: Publishing FROM SEQ04: '56
[Seq04-1] [INFO] [1679413721.213388620] [seq04]: Publishing FROM SEQ04: '57
[Seq04-1] [INFO] [1679413721.219755207] [seq04]: Publishing FROM SEQ04: '58
[Seq04-1] [INFO] [1679413721.220921644] [seq04]: Loop04 topic received: '-1
[Seq04-1] [INFO] [1679413721.221207753] [seq04]: Publishing FROM SEQ04: '59
[Seq04-1] [INFO] [1679413721.225430965] [seq04]: Publishing FROM SEQ04: '60
[Seq04-1] [INFO] [1679413721.234781069] [seq04]: Loop04 topic received: '-1
[Seq04-1] [INFO] [1679413721.235145603] [seq04]: Publishing FROM SEQ04: '61
[Seq04-1] [INFO] [1679413721.236912462] [seq04]: Publishing FROM SEQ04: '62
[Seq04-1] [INFO] [1679413721.238180009] [seq04]: Loop04 topic received: '-1
[Seq04-1] [INFO] [1679413721.238539210] [seq04]: Publishing FROM SEQ04: '63
[Seq04-1] [INFO] [1679413721.243049309] [seq04]: Publishing FROM SEQ04: '64
[Seq04-1] [INFO] [1679413721.245314072] [seq04]: Loop04 topic received: '64
[Seq04-1] [INFO] [1679413721.245835883] [seq04]: Publishing FROM SEQ04: '65
[Seq04-1] [INFO] [1679413721.249325841] [seq04]: Publishing FROM SEQ04: '66
[Seq04-1] [INFO] [1679413721.255538780] [seq04]: Loop04 topic received: '-1
[Seq04-1] [INFO] [1679413721.255965518] [seq04]: Publishing FROM SEQ04: '67
[Seq04-1] [INFO] [1679413721.258989739] [seq04]: Publishing FROM SEQ04: '68
[Seq04-1] [INFO] [1679413721.260821189] [seq04]: Loop04 topic received: '-1
[Seq04-1] [INFO] [1679413721.261272594] [seq04]: Publishing FROM SEQ04: '69
[Seq04-1] [INFO] [1679413721.265650860] [seq04]: Publishing FROM SEQ04: '70
[Seq04-1] [INFO] [1679413721.269902017] [seq04]: Loop04 topic received: '-1
[Seq04-1] [INFO] [1679413721.270264940] [seq04]: Publishing FROM SEQ04: '71
[Seq04-1] [INFO] [1679413721.272105206] [seq04]: Publishing FROM SEQ04: '72
[Seq04-1] [INFO] [1679413721.278770013] [seq04]: Loop04 topic received: '72
[Seq04-1] [INFO] [1679413721.279191158] [seq04]: Publishing FROM SEQ04: '73
[Seq04-1] [INFO] [1679413721.280992386] [seq04]: Publishing FROM SEQ04: '74
